"","Treatment","Metric","BFx","BFy","BFxy","Value"
"291","Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0
"292","Fine sediment
addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0.0111731843575419
"293","Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0
"294","Fine sediment
addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",0
"295","Fine sediment
addition","Tot. richness",1,0,"BF10",7.47457627118644
"296","Fine sediment
addition","Tot. richness",2,0,"BF20",0
"297","Fine sediment
addition","Tot. richness",3,0,"BF30",0
"298","Fine sediment
addition","Tot. richness",2,1,"BF21",0
"299","Fine sediment
addition","Tot. richness",3,1,"BF31",0
"300","Fine sediment
addition","Tot. richness",3,2,"BF32",NA
"301","Fine sediment
addition","Tagument (rel. abundance)",1,0,"BF10",0.464128843338214
"302","Fine sediment
addition","Tagument (rel. abundance)",2,0,"BF20",0
"303","Fine sediment
addition","Tagument (rel. abundance)",3,0,"BF30",0
"304","Fine sediment
addition","Tagument (rel. abundance)",2,1,"BF21",0
"305","Fine sediment
addition","Tagument (rel. abundance)",3,1,"BF31",0
"306","Fine sediment
addition","Tagument (rel. abundance)",3,2,"BF32",NA
"307","Fine sediment
addition","Tot. abundance",1,0,"BF10",2.40955631399317
"308","Fine sediment
addition","Tot. abundance",2,0,"BF20",0
"309","Fine sediment
addition","Tot. abundance",3,0,"BF30",0
"310","Fine sediment
addition","Tot. abundance",2,1,"BF21",0
"311","Fine sediment
addition","Tot. abundance",3,1,"BF31",0
"312","Fine sediment
addition","Tot. abundance",3,2,"BF32",NA
"313","Flow reduction","EPT (abundance)",1,0,"BF10",2.07384615384615
"314","Flow reduction","EPT (abundance)",2,0,"BF20",0.00307692307692308
"315","Flow reduction","EPT (abundance)",3,0,"BF30",0
"316","Flow reduction","EPT (abundance)",2,1,"BF21",0.00148367952522255
"317","Flow reduction","EPT (abundance)",3,1,"BF31",0
"318","Flow reduction","EPT (abundance)",3,2,"BF32",0
"319","Flow reduction","% EPT",1,0,"BF10",4.81764705882353
"320","Flow reduction","% EPT",2,0,"BF20",0.0647058823529412
"321","Flow reduction","% EPT",3,0,"BF30",0
"322","Flow reduction","% EPT",2,1,"BF21",0.0134310134310134
"323","Flow reduction","% EPT",3,1,"BF31",0
"324","Flow reduction","% EPT",3,2,"BF32",0
"325","Flow reduction","EPT (number taxa)",1,0,"BF10",1.47524752475248
"326","Flow reduction","EPT (number taxa)",2,0,"BF20",0
"327","Flow reduction","EPT (number taxa)",3,0,"BF30",0
"328","Flow reduction","EPT (number taxa)",2,1,"BF21",0
"329","Flow reduction","EPT (number taxa)",3,1,"BF31",0
"330","Flow reduction","EPT (number taxa)",3,2,"BF32",NA
"331","Flow reduction","% Lotic",1,0,"BF10",1.94642857142857
"332","Flow reduction","% Lotic",2,0,"BF20",0.0267857142857143
"333","Flow reduction","% Lotic",3,0,"BF30",0
"334","Flow reduction","% Lotic",2,1,"BF21",0.0137614678899083
"335","Flow reduction","% Lotic",3,1,"BF31",0
"336","Flow reduction","% Lotic",3,2,"BF32",0
"337","Flow reduction","Fast/Slow flow (adapt., ratio)",1,0,"BF10",1.92899408284024
"338","Flow reduction","Fast/Slow flow (adapt., ratio)",2,0,"BF20",0.0266272189349112
"339","Flow reduction","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0
"340","Flow reduction","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.0138036809815951
"341","Flow reduction","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0
"342","Flow reduction","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0
"343","Flow reduction","% Gill breather",1,0,"BF10",1.85100286532951
"344","Flow reduction","% Gill breather",2,0,"BF20",0.0143266475644699
"345","Flow reduction","% Gill breather",3,0,"BF30",0
"346","Flow reduction","% Gill breather",2,1,"BF21",0.00773993808049536
"347","Flow reduction","% Gill breather",3,1,"BF31",0
"348","Flow reduction","% Gill breather",3,2,"BF32",0
"349","Flow reduction","Gils/Tegument (ratio)",1,0,"BF10",2.08024691358025
"350","Flow reduction","Gils/Tegument (ratio)",2,0,"BF20",0.00617283950617284
"351","Flow reduction","Gils/Tegument (ratio)",3,0,"BF30",0
"352","Flow reduction","Gils/Tegument (ratio)",2,1,"BF21",0.0029673590504451
"353","Flow reduction","Gils/Tegument (ratio)",3,1,"BF31",0
"354","Flow reduction","Gils/Tegument (ratio)",3,2,"BF32",0
"355","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",1.61477572559367
"356","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.0211081794195251
"357","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0.00527704485488127
"358","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.0130718954248366
"359","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0.00326797385620915
"360","Flow reduction","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0.25
"361","Flow reduction","% Scraper",1,0,"BF10",0.572327044025157
"362","Flow reduction","% Scraper",2,0,"BF20",0
"363","Flow reduction","% Scraper",3,0,"BF30",0
"364","Flow reduction","% Scraper",2,1,"BF21",0
"365","Flow reduction","% Scraper",3,1,"BF31",0
"366","Flow reduction","% Scraper",3,2,"BF32",NA
"367","Flow reduction","Slow flow adapt. (rel. abundance)",1,0,"BF10",0.754385964912281
"368","Flow reduction","Slow flow adapt. (rel. abundance)",2,0,"BF20",0
"369","Flow reduction","Slow flow adapt. (rel. abundance)",3,0,"BF30",0
"370","Flow reduction","Slow flow adapt. (rel. abundance)",2,1,"BF21",0
"371","Flow reduction","Slow flow adapt. (rel. abundance)",3,1,"BF31",0
"372","Flow reduction","Slow flow adapt. (rel. abundance)",3,2,"BF32",NA
"373","Flow reduction","Tot. richness",1,0,"BF10",0.683501683501684
"374","Flow reduction","Tot. richness",2,0,"BF20",0
"375","Flow reduction","Tot. richness",3,0,"BF30",0
"376","Flow reduction","Tot. richness",2,1,"BF21",0
"377","Flow reduction","Tot. richness",3,1,"BF31",0
"378","Flow reduction","Tot. richness",3,2,"BF32",NA
"379","Flow reduction","Tagument (rel. abundance)",1,0,"BF10",0.886363636363636
"380","Flow reduction","Tagument (rel. abundance)",2,0,"BF20",0.00757575757575758
"381","Flow reduction","Tagument (rel. abundance)",3,0,"BF30",0
"382","Flow reduction","Tagument (rel. abundance)",2,1,"BF21",0.00854700854700855
"383","Flow reduction","Tagument (rel. abundance)",3,1,"BF31",0
"384","Flow reduction","Tagument (rel. abundance)",3,2,"BF32",0
"385","Flow reduction","Tot. abundance",1,0,"BF10",0.364256480218281
"386","Flow reduction","Tot. abundance",2,0,"BF20",0
"387","Flow reduction","Tot. abundance",3,0,"BF30",0
"388","Flow reduction","Tot. abundance",2,1,"BF21",0
"389","Flow reduction","Tot. abundance",3,1,"BF31",0
"390","Flow reduction","Tot. abundance",3,2,"BF32",NA
"391","Flow reduction
& N/P addition","EPT (abundance)",1,0,"BF10",3.28193832599119
"392","Flow reduction
& N/P addition","EPT (abundance)",2,0,"BF20",0.114537444933921
"393","Flow reduction
& N/P addition","EPT (abundance)",3,0,"BF30",0.00881057268722467
"394","Flow reduction
& N/P addition","EPT (abundance)",2,1,"BF21",0.0348993288590604
"395","Flow reduction
& N/P addition","EPT (abundance)",3,1,"BF31",0.00268456375838926
"396","Flow reduction
& N/P addition","EPT (abundance)",3,2,"BF32",0.0769230769230769
"397","Flow reduction
& N/P addition","% EPT",1,0,"BF10",2.98770491803279
"398","Flow reduction
& N/P addition","% EPT",2,0,"BF20",0.102459016393443
"399","Flow reduction
& N/P addition","% EPT",3,0,"BF30",0.00819672131147541
"400","Flow reduction
& N/P addition","% EPT",2,1,"BF21",0.0342935528120713
"401","Flow reduction
& N/P addition","% EPT",3,1,"BF31",0.00274348422496571
"402","Flow reduction
& N/P addition","% EPT",3,2,"BF32",0.08
"403","Flow reduction
& N/P addition","EPT (number taxa)",1,0,"BF10",1.63324538258575
"404","Flow reduction
& N/P addition","EPT (number taxa)",2,0,"BF20",0.00527704485488127
"405","Flow reduction
& N/P addition","EPT (number taxa)",3,0,"BF30",0
"406","Flow reduction
& N/P addition","EPT (number taxa)",2,1,"BF21",0.00323101777059774
"407","Flow reduction
& N/P addition","EPT (number taxa)",3,1,"BF31",0
"408","Flow reduction
& N/P addition","EPT (number taxa)",3,2,"BF32",0
"409","Flow reduction
& N/P addition","% Lotic",1,0,"BF10",3.86111111111111
"410","Flow reduction
& N/P addition","% Lotic",2,0,"BF20",0.583333333333333
"411","Flow reduction
& N/P addition","% Lotic",3,0,"BF30",0.116666666666667
"412","Flow reduction
& N/P addition","% Lotic",2,1,"BF21",0.151079136690647
"413","Flow reduction
& N/P addition","% Lotic",3,1,"BF31",0.0302158273381295
"414","Flow reduction
& N/P addition","% Lotic",3,2,"BF32",0.2
"415","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",4.23837209302326
"416","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",0.534883720930233
"417","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0.0406976744186047
"418","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.126200274348422
"419","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0.00960219478737997
"420","Flow reduction
& N/P addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0.0760869565217391
"421","Flow reduction
& N/P addition","% Gill breather",1,0,"BF10",1.54263565891473
"422","Flow reduction
& N/P addition","% Gill breather",2,0,"BF20",0.0361757105943152
"423","Flow reduction
& N/P addition","% Gill breather",3,0,"BF30",0.00775193798449612
"424","Flow reduction
& N/P addition","% Gill breather",2,1,"BF21",0.0234505862646566
"425","Flow reduction
& N/P addition","% Gill breather",3,1,"BF31",0.0050251256281407
"426","Flow reduction
& N/P addition","% Gill breather",3,2,"BF32",0.214285714285714
"427","Flow reduction
& N/P addition","Gils/Tegument (ratio)",1,0,"BF10",1.66937669376694
"428","Flow reduction
& N/P addition","Gils/Tegument (ratio)",2,0,"BF20",0.040650406504065
"429","Flow reduction
& N/P addition","Gils/Tegument (ratio)",3,0,"BF30",0.002710027100271
"430","Flow reduction
& N/P addition","Gils/Tegument (ratio)",2,1,"BF21",0.0243506493506493
"431","Flow reduction
& N/P addition","Gils/Tegument (ratio)",3,1,"BF31",0.00162337662337662
"432","Flow reduction
& N/P addition","Gils/Tegument (ratio)",3,2,"BF32",0.0666666666666667
"433","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",4.07407407407407
"434","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.216931216931217
"435","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0.00529100529100529
"436","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.0532467532467533
"437","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0.0012987012987013
"438","Flow reduction
& N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0.024390243902439
"439","Flow reduction
& N/P addition","% Scraper",1,0,"BF10",0.853932584269663
"440","Flow reduction
& N/P addition","% Scraper",2,0,"BF20",0.0149812734082397
"441","Flow reduction
& N/P addition","% Scraper",3,0,"BF30",0.00187265917602996
"442","Flow reduction
& N/P addition","% Scraper",2,1,"BF21",0.0175438596491228
"443","Flow reduction
& N/P addition","% Scraper",3,1,"BF31",0.00219298245614035
"444","Flow reduction
& N/P addition","% Scraper",3,2,"BF32",0.125
"445","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",1.36609336609337
"446","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0.0737100737100737
"447","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0.0147420147420147
"448","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0.0539568345323741
"449","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0.0107913669064748
"450","Flow reduction
& N/P addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",0.2
"451","Flow reduction
& N/P addition","Tot. richness",1,0,"BF10",5.33974358974359
"452","Flow reduction
& N/P addition","Tot. richness",2,0,"BF20",0.0641025641025641
"453","Flow reduction
& N/P addition","Tot. richness",3,0,"BF30",0.00641025641025641
"454","Flow reduction
& N/P addition","Tot. richness",2,1,"BF21",0.0120048019207683
"455","Flow reduction
& N/P addition","Tot. richness",3,1,"BF31",0.00120048019207683
"456","Flow reduction
& N/P addition","Tot. richness",3,2,"BF32",0.1
"457","Flow reduction
& N/P addition","Tagument (rel. abundance)",1,0,"BF10",1.76404494382022
"458","Flow reduction
& N/P addition","Tagument (rel. abundance)",2,0,"BF20",0.0449438202247191
"459","Flow reduction
& N/P addition","Tagument (rel. abundance)",3,0,"BF30",0
"460","Flow reduction
& N/P addition","Tagument (rel. abundance)",2,1,"BF21",0.0254777070063694
"461","Flow reduction
& N/P addition","Tagument (rel. abundance)",3,1,"BF31",0
"462","Flow reduction
& N/P addition","Tagument (rel. abundance)",3,2,"BF32",0
"463","Flow reduction
& N/P addition","Tot. abundance",1,0,"BF10",2.32333333333333
"464","Flow reduction
& N/P addition","Tot. abundance",2,0,"BF20",0.01
"465","Flow reduction
& N/P addition","Tot. abundance",3,0,"BF30",0
"466","Flow reduction
& N/P addition","Tot. abundance",2,1,"BF21",0.00430416068866571
"467","Flow reduction
& N/P addition","Tot. abundance",3,1,"BF31",0
"468","Flow reduction
& N/P addition","Tot. abundance",3,2,"BF32",0
"469","N/P addition","EPT (abundance)",1,0,"BF10",3.76190476190476
"470","N/P addition","EPT (abundance)",2,0,"BF20",0
"471","N/P addition","EPT (abundance)",3,0,"BF30",0
"472","N/P addition","EPT (abundance)",2,1,"BF21",0
"473","N/P addition","EPT (abundance)",3,1,"BF31",0
"474","N/P addition","EPT (abundance)",3,2,"BF32",NA
"475","N/P addition","% EPT",1,0,"BF10",6.33823529411765
"476","N/P addition","% EPT",2,0,"BF20",0.00735294117647059
"477","N/P addition","% EPT",3,0,"BF30",0
"478","N/P addition","% EPT",2,1,"BF21",0.00116009280742459
"479","N/P addition","% EPT",3,1,"BF31",0
"480","N/P addition","% EPT",3,2,"BF32",0
"481","N/P addition","EPT (number taxa)",1,0,"BF10",0.488095238095238
"482","N/P addition","EPT (number taxa)",2,0,"BF20",0
"483","N/P addition","EPT (number taxa)",3,0,"BF30",0
"484","N/P addition","EPT (number taxa)",2,1,"BF21",0
"485","N/P addition","EPT (number taxa)",3,1,"BF31",0
"486","N/P addition","EPT (number taxa)",3,2,"BF32",NA
"487","N/P addition","% Lotic",1,0,"BF10",32.1333333333333
"488","N/P addition","% Lotic",2,0,"BF20",0.2
"489","N/P addition","% Lotic",3,0,"BF30",0
"490","N/P addition","% Lotic",2,1,"BF21",0.00622406639004149
"491","N/P addition","% Lotic",3,1,"BF31",0
"492","N/P addition","% Lotic",3,2,"BF32",0
"493","N/P addition","Fast/Slow flow (adapt., ratio)",1,0,"BF10",29.90625
"494","N/P addition","Fast/Slow flow (adapt., ratio)",2,0,"BF20",0.34375
"495","N/P addition","Fast/Slow flow (adapt., ratio)",3,0,"BF30",0
"496","N/P addition","Fast/Slow flow (adapt., ratio)",2,1,"BF21",0.0114942528735632
"497","N/P addition","Fast/Slow flow (adapt., ratio)",3,1,"BF31",0
"498","N/P addition","Fast/Slow flow (adapt., ratio)",3,2,"BF32",0
"499","N/P addition","% Gill breather",1,0,"BF10",2.01204819277108
"500","N/P addition","% Gill breather",2,0,"BF20",0
"501","N/P addition","% Gill breather",3,0,"BF30",0
"502","N/P addition","% Gill breather",2,1,"BF21",0
"503","N/P addition","% Gill breather",3,1,"BF31",0
"504","N/P addition","% Gill breather",3,2,"BF32",NA
"505","N/P addition","Gils/Tegument (ratio)",1,0,"BF10",1.92105263157895
"506","N/P addition","Gils/Tegument (ratio)",2,0,"BF20",0.00292397660818713
"507","N/P addition","Gils/Tegument (ratio)",3,0,"BF30",0
"508","N/P addition","Gils/Tegument (ratio)",2,1,"BF21",0.0015220700152207
"509","N/P addition","Gils/Tegument (ratio)",3,1,"BF31",0
"510","N/P addition","Gils/Tegument (ratio)",3,2,"BF32",0
"511","N/P addition","Non EPT fast flow (adapt., rel. abd.)",1,0,"BF10",12.1184210526316
"512","N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,0,"BF20",0.0263157894736842
"513","N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,0,"BF30",0
"514","N/P addition","Non EPT fast flow (adapt., rel. abd.)",2,1,"BF21",0.00217155266015201
"515","N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,1,"BF31",0
"516","N/P addition","Non EPT fast flow (adapt., rel. abd.)",3,2,"BF32",0
"517","N/P addition","% Scraper",1,0,"BF10",0.76056338028169
"518","N/P addition","% Scraper",2,0,"BF20",0
"519","N/P addition","% Scraper",3,0,"BF30",0
"520","N/P addition","% Scraper",2,1,"BF21",0
"521","N/P addition","% Scraper",3,1,"BF31",0
"522","N/P addition","% Scraper",3,2,"BF32",NA
"523","N/P addition","Slow flow adapt. (rel. abundance)",1,0,"BF10",0.290322580645161
"524","N/P addition","Slow flow adapt. (rel. abundance)",2,0,"BF20",0
"525","N/P addition","Slow flow adapt. (rel. abundance)",3,0,"BF30",0
"526","N/P addition","Slow flow adapt. (rel. abundance)",2,1,"BF21",0
"527","N/P addition","Slow flow adapt. (rel. abundance)",3,1,"BF31",0
"528","N/P addition","Slow flow adapt. (rel. abundance)",3,2,"BF32",NA
"529","N/P addition","Tot. richness",1,0,"BF10",0.285347043701799
"530","N/P addition","Tot. richness",2,0,"BF20",0
"531","N/P addition","Tot. richness",3,0,"BF30",0
"532","N/P addition","Tot. richness",2,1,"BF21",0
"533","N/P addition","Tot. richness",3,1,"BF31",0
"534","N/P addition","Tot. richness",3,2,"BF32",NA
"535","N/P addition","Tagument (rel. abundance)",1,0,"BF10",0.2531328320802
"536","N/P addition","Tagument (rel. abundance)",2,0,"BF20",0
"537","N/P addition","Tagument (rel. abundance)",3,0,"BF30",0
"538","N/P addition","Tagument (rel. abundance)",2,1,"BF21",0
"539","N/P addition","Tagument (rel. abundance)",3,1,"BF31",0
"540","N/P addition","Tagument (rel. abundance)",3,2,"BF32",NA
"541","N/P addition","Tot. abundance",1,0,"BF10",0.45985401459854
"542","N/P addition","Tot. abundance",2,0,"BF20",0
"543","N/P addition","Tot. abundance",3,0,"BF30",0
"544","N/P addition","Tot. abundance",2,1,"BF21",0
"545","N/P addition","Tot. abundance",3,1,"BF31",0
"546","N/P addition","Tot. abundance",3,2,"BF32",NA
